4808 	4038 	10308 	515 	21
4809 	4037 	12060 	541 	24
4810 	4040 	8785 	504 	18
4817 	7667 	13655 	562 	27
4821 	7691 	18500 	592 	35
4822 	7699 	19239 	612 	36
4823 	7709 	20828 	574 	40
4824 	7720 	18425 	592 	35
4825 	7729 	18404 	594 	35
4826 	7739 	17173 	568 	33
4827 	7749 	18191 	563 	35
4828 	7759 	20706 	606 	39
4829 	7770 	22304 	623 	41
4830 	7781 	20701 	604 	39
4831 	7783 	23330 	587 	44
4837 	3321 	7908 	483 	17
4837 	3382 	7890 	486 	17
4837 	4222 	7563 	501 	16
4837 	5575 	7565 	499 	16
4837 	5619 	8351 	490 	18
4837 	5738 	7366 	474 	16
4837 	6320 	8068 	502 	17
4837 	6569 	8561 	505 	18
4837 	7418 	8500 	507 	18
4837 	7734 	7542 	499 	16
4839 	3320 	8453 	487 	18
4839 	3381 	8396 	490 	18
4839 	3543 	8126 	504 	17
4839 	3736 	7875 	483 	17
4839 	4221 	8578 	506 	18
4839 	4240 	7860 	491 	17
4839 	4293 	7554 	503 	16
4839 	4603 	8071 	494 	17
4839 	5093 	7664 	502 	16
4839 	5126 	8066 	503 	17
4839 	5225 	7697 	502 	16
4839 	5350 	7558 	502 	16
4839 	5408 	8090 	504 	17
4839 	5619 	8390 	492 	18
4839 	5738 	7895 	481 	17
4839 	5984 	8638 	506 	18
4839 	6165 	15570 	506 	33
4839 	6320 	8131 	506 	17
4839 	6443 	7696 	503 	16
4839 	6569 	8634 	512 	18
4839 	6696 	7358 	477 	16
4839 	7102 	7496 	491 	16
4839 	7234 	8123 	504 	17
4839 	7418 	8574 	513 	18
4839 	7536 	10858 	502 	23
4839 	7711 	7757 	503 	16
4839 	7734 	7573 	504 	16
4858 	4328 	10130 	505 	21
4859 	7124 	50934 	520 	100
4859 	7229 	27083 	550 	52
4860 	6962 	34111 	503 	69
4861 	6873 	23628 	528 	47
4862 	6831 	25813 	606 	50
4863 	6804 	24357 	756 	43
4864 	6788 	23625 	751 	44
4865 	6787 	25701 	1454 	41
4866 	6788 	24991 	1422 	34
4867 	6792 	21941 	998 	37
4868 	6809 	7810 	484 	17
4909 	5807 	8757 	506 	18
4921 	4852 	10641 	524 	22
4943 	4835 	9765 	512 	20
4945 	6789 	7963 	481 	17
4961 	6789 	7483 	479 	16
4966 	6789 	7267 	466 	16
4972 	6789 	7920 	478 	17
4975 	6789 	7525 	484 	16
5004 	3271 	9362 	510 	19
5014 	3482 	11379 	525 	23
5014 	3580 	12383 	527 	25
5015 	3481 	12819 	554 	25
5015 	3579 	13897 	554 	27
5016 	3582 	13150 	545 	26
5016 	3626 	10941 	524 	22
5017 	3583 	12647 	547 	25
5017 	3625 	13194 	559 	26
5018 	3583 	33646 	540 	66
5019 	3587 	32817 	585 	61
5020 	3617 	15655 	591 	30
5080 	5861 	11993 	573 	24
5081 	5863 	14304 	592 	28
5082 	5871 	13194 	579 	26
5083 	5878 	13708 	581 	27
5084 	5885 	14364 	611 	28
5085 	5893 	13869 	585 	27
5086 	5901 	13846 	598 	27
5087 	5908 	13896 	592 	27
5088 	5916 	13863 	587 	27
